Website,Public-Facing,Canonical List
bulk.ginniemae.gov,No,Yes
burnseverity.cr.usgs.gov,Yes,Yes
bush41library.archives.gov,Yes,Yes
business.lanl.gov,Yes,Yes
busoperations.inl.gov,Yes,Yes
buy.gsa.gov,Yes,Yes
bva.va.gov,Yes,Yes
bwhcphysics.lbl.gov,Yes,Yes
bwt.cbp.gov,Yes,Yes
c-rads.od.nih.gov,Yes,Yes
c-ras.cdscc.nasa.gov,No,Yes
c2sepem.lbl.gov,Yes,Yes
c3.ndc.nasa.gov,Yes,Yes
c3rs.arc.nasa.gov,Yes,Yes
c51.lbl.gov,No,Yes
cab.srs.gov,Yes,Yes
cactus.nci.nih.gov,Yes,Yes
cad4nasa.gsfc.nasa.gov,No,Yes
cadccvm1.cad.bnl.gov,No,Yes
caddo.nsopw.gov,Yes,Yes
cades.ornl.gov,Yes,Yes
cadre.research.va.gov,Yes,Yes
cadsr.cancer.gov,No,Yes
cadsr.nci.nih.gov,No,Yes
cadweb.bnl.gov,No,Yes
caes.pnnl.gov,Yes,Yes
cafgroup.lbl.gov,Yes,Yes
cahnathx.nichd.nih.gov,Yes,Yes
cahpsdatabase.ahrq.gov,Yes,Yes
caia-acc.treasury.gov,No,Yes
caia.treasury.gov,No,Yes
cain.larc.nasa.gov,No,Yes
cairnslab.lbl.gov,Yes,Yes
calendar.niehs.nih.gov,No,Yes
calendar.nih.gov,Yes,Yes
calm.gsa.gov,Yes,Yes
calval.jpl.nasa.gov,Yes,Yes
cam.cancer.gov,Yes,Yes
camera.lbl.gov,Yes,Yes
camp2ex.jpl.nasa.gov,Yes,Yes
campa.lbl.gov,Yes,Yes
